medcodeid,allcancer_term
289144010,Malignant neoplasm of upper-outer quadrant of female breast
289145011,Malignant neoplasm of lower-outer quadrant of female breast
289146012,Malignant neoplasm of axillary tail of female breast
289147015,"Malignant neoplasm, overlapping lesion of breast"
289148013,Malignant neoplasm of other site of female breast
289149017,Malignant neoplasm of ectopic site of female breast
289150017,Malignant neoplasm of other site of female breast NOS
289151018,Malignant neoplasm of female breast NOS
155364013,Malignant neoplasm of male breast
289153015,Malignant neoplasm of nipple and areola of male breast
155418019,Malignant neoplasm of nipple of male breast
155090017,Malignant neoplasm of areola of male breast
289157019,Malignant neoplasm of other site of male breast
289158012,Malignant neoplasm of ectopic site of male breast
289159016,Malignant neoplasm of male breast NOS
729351000006111,"Malig neop of bone, connective tissue, skin and breast OS"
729341000006114,"Malig neop of bone, connective tissue, skin and breast NOS"
406263015,Malignant neoplasm of genitourinary organ
380092019,Carcinoma of genitourinary organ
289166015,Malignant neoplasm of uterus
1228493018,Malignant neoplasm of cervix uteri
543481000006111,Malignant tumour of cervix
155218017,Malignant neoplasm of endocervix
289171010,Malignant neoplasm of endocervical canal
289172015,Malignant neoplasm of endocervical gland
289173013,Malignant neoplasm of endocervix NOS
155231010,Malignant neoplasm of exocervix
289175018,"Malignant neoplasm, overlapping lesion of cervix uteri"
289178016,Malignant neoplasm of other site of cervix
289179012,Malignant neoplasm of cervical stump
289180010,Malignant neoplasm of squamocolumnar junction of cervix
289181014,Malignant neoplasm of other site of cervix NOS
289182019,Malignant neoplasm of cervix uteri NOS
155468010,Primary malignant neoplasm of placenta
552661000006114,Choriocarcinoma
1210561014,Malignant neoplasm of body of uterus
289187013,"Malignant neoplasm of corpus uteri, excluding isthmus"
289188015,Malignant neoplasm of cornu of corpus uteri
289189011,Malignant neoplasm of fundus of corpus uteri
289190019,Malignant neoplasm of endometrium of corpus uteri
980021000006113,Malignant neoplasm of endometrium
289191015,Malignant neoplasm of myometrium of corpus uteri
289192010,Malignant neoplasm of corpus uteri NOS
289193017,Malignant neoplasm of isthmus of uterine body
289194011,Malignant neoplasm of lower uterine segment
289195012,Malignant neoplasm of isthmus of uterine body NOS
289196013,Malignant neoplasm of overlapping lesion of corpus uteri
289197016,Malignant neoplasm of other site of uterine body
289198014,Malignant neoplasm of body of uterus NOS
289199018,Malignant neoplasm of uterine adnexa
723281000006111,Malignant tumour of ovary
1228570010,Cancer of ovary
726271000006117,Malignant neoplasm of fallopian tube
155155010,Malignant neoplasm of broad ligament
155441010,Malignant neoplasm of parametrium
289203018,Malignant neoplasm of other site of uterine adnexa
289204012,Malignant neoplasm of uterine adnexa NOS
729491000006110,Malig neop of other and unspecified female genital organs
721051000006113,Malignant tumour of vagina
289207017,Malignant neoplasm of vaginal vault
289208010,Malignant neoplasm of vagina NOS
482690017,Malignant neoplasm of labia majora
289209019,Malignant neoplasm of greater vestibular (Bartholin's) gland
289210012,Malignant neoplasm of labia majora NOS
